word,label
bulletin,10000
bumper,10000
bunch,3000
bundle,10000
bunny,10000
burden,5000
bureau,10000
bureaucracy,5000
burial,5000
buried,10000
burke,10000
burlington,10000
burn,3000
burner,10000
burning,10000
burns,10000
burst,5000
burton,10000
bury,3000
bus,3000
buses,10000
bush,3000
business,3000
businesses,10000
businessman,3000
busty,10000
busy,3000
but,3000
butler,10000
butt,10000
butter,3000
butterfly,10000
button,3000
buttons,10000
butts,10000
buy,3000
buyer,10000
buyers,10000
buying,10000
buys,10000
buzz,10000
bw,10000
by,3000
bye,3000
byte,10000
bytes,10000
ca,10000
cab,10000
cabin,5000
cabinet,5000
cabinets,10000
cable,3000
cables,10000
cache,10000
cached,10000
cad,10000
cafe,3000
cage,10000
cake,3000
cakes,10000
calcium,10000
calculate,3000
calculated,10000
calculation,5000
calculations,10000
calculator,10000
calculators,10000
calendar,10000
calendars,10000
calgary,10000
calibration,10000
california,10000
call,3000
called,10000
calling,10000
calls,10000
calm,3000
calvin,10000
cam,10000
cambodia,10000
cambridge,10000
camcorder,10000
camcorders,10000
came,10000
camel,10000
camera,3000
cameras,10000
cameroon,10000
camp,3000
campaign,3000
campaigns,10000
campbell,10000
camping,3000
camps,10000
campus,3000
cams,10000
can,10000
canada,10000
canadian,10000
canal,5000
canberra,10000
cancel,3000
cancellation,10000
cancelled,10000
cancer,3000
candidate,3000
candidates,10000
candle,5000
candles,10000
candy,3000
cannon,10000
cannot,3000
canon,10000
cant,10000
canvas,5000
canyon,10000
cap,3000
capabilities,10000
capability,5000
capable,3000
capacity,3000
cape,10000
capital,3000
capitalism,5000
capitalist,5000
capitol,10000
caps,10000
captain,3000
capture,3000
captured,10000
car,3000
carbon,5000
card,3000
cardiac,10000
cardiff,10000
cardiovascular,10000
cards,10000
care,3000
career,3000
careers,10000
careful,3000
carefully,3000
careless,3000
cargo,5000
caribbean,10000
caring,3000
carlos,10000
carnival,10000
carol,10000
carolina,10000
caroline,10000
carpet,3000
carriage,5000
carried,10000
carrier,10000
carriers,10000
carries,10000
carroll,10000
carrot,3000
carry,3000
carrying,10000
cars,10000
cart,10000
carter,10000
cartoon,3000
cartoons,10000
cartridge,10000
cartridges,10000
carve,5000
cas,10000
case,3000
cases,10000
cash,3000
cashiers,10000
casino,5000
casinos,10000
cassette,10000
cast,3000
casting,10000
castle,5000
casual,5000
casualty,5000
cat,3000
catalog,5000
catalogs,10000
catalogue,10000
catalyst,10000
catch,3000
categories,10000
category,3000
cater,5000
catering,10000
cathedral,10000
catherine,10000
catholic,10000
cats,10000
cattle,5000
caught,10000
cause,3000
caused,10000
causes,10000
causing,10000
caution,5000
cautious,5000
cave,5000
cayman,10000
cd,3000
cdna,10000
cds,10000
ce,10000
cease,5000
cedar,10000
cefr,3000
ceiling,3000
celebrate,3000
celebration,3000
celebrities,10000
celebrity,3000
cell,3000
cells,10000
cellular,10000
celtic,10000
cement,10000
cemetery,5000
census,10000
cent,3000
center,3000
centered,10000
centers,10000
central,3000
centre,10000
centres,10000
cents,10000
centuries,10000
century,3000
ceo,10000
ceramic,10000
ceremony,3000
certain,3000
certainly,3000
certainty,5000
certificate,5000
certificates,10000
certification,10000
certified,10000
cf,10000
chad,10000
chain,3000
chains,10000
chair,3000
chairman,3000
chairs,10000
challenge,3000
challenged,10000
challenges,10000
challenging,5000
chamber,5000
chambers,10000
champagne,10000
champion,3000
champions,10000
championship,5000
championships,10000
chance,3000
chancellor,10000
chances,10000
change,3000
changed,10000
changes,10000
changing,10000
channel,3000
channels,10000
chaos,5000
chapel,10000
chapter,3000
chapters,10000
char,10000
character,3000
characteristic,3000
characteristics,10000
characterization,10000
characterize,5000
characterized,10000
characters,10000
charge,3000
charged,10000
charger,10000
chargers,10000
charges,10000
charging,10000
charitable,10000
charity,3000
charles,10000
charleston,10000
charlotte,10000
charm,5000
charming,5000
charms,10000
chart,3000
charter,5000
charts,10000
chase,5000
chassis,10000
chat,3000
cheap,3000
cheaper,10000
cheapest,10000
cheat,3000
cheats,10000
check,3000
checked,10000
checking,10000
checklist,10000
checkout,10000
checks,10000
cheek,5000
cheer,5000
cheerful,3000
cheers,10000
cheese,3000
chef,3000
chemical,3000
chemicals,10000
chemistry,3000
chen,10000
cheque,10000
cherry,10000
chess,10000
chest,3000
